sentence,predicted,true
더럽게싸네 씨벌탱,0,1
나의 시간이 없어져부려따,0,1
17.5로 빠른 패치를 부탁드립니다. 아직도 스팀에서는 17 이여서 효과팩을 구입 후 사용하지 못하고 있습니다.,0,1
지인 7명에게 추천하고 7명이 접은 게임,0,1
뭣같은 게임..,0,1
좌우로 벽을 타면서 사각형을 피합시다 도전과제도 없어서 빤스런함,0,1
무려 물량이 답인 게임,0,1
550원에 팔때 재밌어보여서 구매한 게임인데.. 마지막 endless mode 100점 도전과제 깨려고 밤새가며 머리 쥐어뜯다 멘붕한 게임 가시에 터질때의 사운드가 날 빡치게 한다.,0,1
"게임은 재미가 있으나 마테리얼 노가다가 지겹고, npc ai가 그지같음 퀘스트 진행순서, 설명 등이 좀 더 자세했으면 함",0,1
멀티하면 재밌는데 멀티가 안 잡힘 그리고 옛날 게임이라 조작감이 너무 안 좋음,0,1
사놓고 복돌로 돌리는중.. 복돌은 한글패치를 따로 할 필요가 없지요 이런 모순이 있나.. 에잉,0,1
잠시 게임을 즐겼을 뿐인데 서네요 환불 안할거에요,0,1
잘 만든 엔진하나 열 게임 안부럽다,0,1
GTA가 아닙니다. 운전 시뮬레이션이죠. 그러니까 제발 좀 코너를 돌때는 브레이크를 밟아달란 말입니다. 평화로운 힐링 게임과 지루한 망겜 사이. 이제 당신의 손에 달려있습니다.,0,1
속도감 하나만은 쩌는 게임. 첫번째 region만 해보고 이 게임을 평가하지 마세요.,0,1
"파크라이3 을 클리어한 직후에 했더니 뭔가 모를 비슷한 느낌, 비슷한 전개에 약간 지루함을 느낌. 엔딩은 맘에 들었다.",0,1
AVGN형이라 샀는데 이건 너무한거 아니냐고,0,1
겜왜안내주냐고,0,1
도전과제 전부 달성하기는 좀 힘들거같네요 ㅜㅜ,0,1
"한다 나는, 도끼질 오늘도",0,1
이 게임이 3년만 일찍 나왔어도 누군가를 욕하면서 2배는 더 재밌게 쥐시냥을 했을텐대.....,0,1
이새낀 배낭을 크로스백으로 들고다니냐?,0,1
사팍 갓갓b +확실히 1편보단 재미도가 덜함 +엔딩 ㅈㄴ허무하네;;,0,1
옛날 그 게임 아니다,0,1
이의 없음,0,1
노가다 잼.,0,1
솔직히 인정하자 모바일게임 탭소닉탑이 쉬운거였다 손 겁나 꼬이네,0,1
글그래픽은 맘에 드는데 재미는 별로 없네요,0,1
게임을 못만든건 아닌데 매력적인 배경만 빌려온 러브스토리 무엇보다 현대 스토리는 어디로?,0,1
하실거면 배경색을 베이지 색으로 맞추고 밝기를 줄이고 하세요,0,1
성우녹음이랑 OST제작이랑 스토리작가 섭외에 모든 예산을 쏟아붓고 남은 돈으로 만든 게임,0,1
잡것들 때문에 못해먹겠네,0,1
그냥 수동문을 달어 제발,0,1
차라리 메탈기어라는 옷을 벗어 던지고 나왔어야 한다고 생각하지만... 게임자체는 잘 뽑혔다. 게임은 좋으나 코나미가 나쁘다 <------- 요말이 딱 맞는 말 인것 같다.,0,1
게임 플레이 거르고 독수리/나레이터가 존나 끝내줌,0,1
대충 놀때는 몰랐는데 컨쿼 모드하니까 AI 능지 문제가 좀; 인식/사격 AI가 좀 불합리하고 여기저기 들쑤시고 다니는 적 AI한테 아군 AI가 너무 쉽게 농락당해서 컨쿼 모드 이기려면 시간 느리게 하지도 못하고 원맨쇼를 찍어야 함,0,1
이겆만 한국어 안되나요?,0,1
샀는데 못하겠다,0,1
안꼴림,0,1
시발 내신발 돌려줘요,0,1
괜히 손패 으로 잡혓는데 무리하다가 파산하는 게임,0,1
듀오는 나쁘지 않지만 할인할때만 구매추천(2만원대가 적정인듯),0,1
주인공이 돌아이라서 그런건지 내가 돌아이라서 그런건지 게임이 어렵다.,0,1
현질를해야 좋은거 얻을수있는게임.....,0,1
솔직히 격겜으로서의 깊이는 별로 없음 모델링은 괜찮은편,0,1
블랙플래그에 비해서 최적화 잘 돼있고 해상전 빠르게 전개돼서 좋은데 단점이 엄청나게 짦은 스토리와 그 짧은 스토리가 끝나고나서 얻게되는 최강의 무기를 써먹을 이유가 없어짐 그냥 게임이 하기 싫어짐,0,1
남들은 엄청난 퀄리티로 CQC를 하던데 나는 시발 무슨 깡패들이 남의 집처들가서 다부수고 다니누,0,1
한판하고 질리는게임,0,1
해상도 전체 full need,0,1
한 판 밖에 안했는데 환불 되나요,0,1
영어로 환불각 멘탈이 탈탈탈 ㅠ.ㅠ 한글패치 능력자 언넝 나왔음 좋겠음둥 ;ㅁ;,0,1
소설에선 병신찐따인 아르티옴이 일찐이 되어 돌아왔다,0,1
